Gender,East/West/Out,VSAT,MSAT,WSAT,Athletics,Housing,FGEN,HSRank,HSGPA,Stem,ERG,GotSchol,Retained,1st_yr_GPA
M,west,480,640,570,0,1,1,,3.1,0,2,1,N,3.21
M,east,590,620,540,0,1,0,44,2.63,0,8,0,Y,2.51
M,east,800,700,680,0,0,0,,,1,NA,0,N,3.86
F,west,460,390,460,0,1,0,82,3.2,0,9,1,Y,2.92
F,east,630,510,590,0,1,1,80,3.3,0,6,0,N,0
F,west,380,420,380,0,1,1,83,3.23,0,9,1,Y,2.98
F,NA,600,560,580,0,1,0,81,3.5,1,8,0,Y,3.55
F,east,540,640,580,1,1,0,50,2.6,1,8,0,Y,2.47
M,east,620,590,590,0,1,0,32,2.5,0,8,0,Y,2.57
M,east,500,450,500,0,0,0,38,2.7,0,4,0,Y,0
M,east,500,450,500,0,0,0,38,2.7,0,4,0,Y,0
M,east,500,450,500,0,0,0,38,2.7,0,4,0,Y,0
M,east,500,450,500,0,0,0,38,2.7,0,4,0,Y,0
F,east,480,390,380,0,0,1,,3.2,0,5,0,N,0
F,east,620,650,650,1,1,0,7,2.7,0,9,0,Y,1.99
F,east,500,470,470,0,1,1,59,2.8,0,8,0,Y,2.83
F,east,460,540,480,0,0,1,52,2.8,0,8,1,N,2.61
M,west,620,610,560,0,1,1,,3,0,9,0,Y,3.49
F,east,600,440,590,0,0,0,89,3.3,0,9,1,Y,3.94
F,west,420,380,420,0,1,1,,2.3,0,8,0,N,0
F,west,600,560,530,0,1,1,,3.9,0,2,0,Y,3.68
M,east,530,480,500,0,0,0,,2.38,0,2,0,Y,2.51
F,east,600,530,550,0,1,1,93,3.9,0,8,1,Y,3.92
M,east,450,490,400,0,1,0,36,2.5,0,8,0,Y,2.71
F,east,460,590,550,0,1,0,70,3.2,1,8,0,Y,2.47
F,east,500,540,500,0,0,1,83,3.5,0,8,0,Y,3.19
F,east,470,410,570,0,1,1,,2.9,1,2,0,Y,3.02
F,east,450,410,540,0,1,1,,3,1,2,0,Y,3.04
M,Out,510,460,380,1,1,0,62,3.29,1,NA,0,Y,1.86
M,east,560,460,470,0,0,0,36,2.4,0,8,0,Y,3.05
M,west,400,570,340,1,1,0,87,3.7,0,8,0,Y,3.43
F,west,420,490,530,1,1,0,79,3.8,0,8,1,Y,2.95
F,west,580,560,610,0,1,0,,2.6,0,2,0,Y,3.49
M,east,510,490,540,0,1,1,35,2.46,1,2,0,Y,2.67
F,east,470,540,600,0,1,1,70,3.2,0,8,0,Y,3.32
F,east,490,490,540,0,1,0,64,2.8,0,3,0,Y,3.39
F,east,520,440,490,0,1,1,51,3.09,0,2,0,Y,3.43
F,east,470,390,510,0,0,1,78,3.4,0,8,1,N,3.63
F,east,510,600,550,0,0,1,89,3.7,0,8,1,Y,3.97
F,east,560,610,530,0,1,1,82,3.4,0,8,1,Y,3.7
F,east,590,560,670,0,1,1,85,3.6,0,8,0,N,3.83
F,east,540,620,570,0,0,0,78,3.4,1,8,0,Y,3.05
F,east,470,570,520,0,1,0,,3.3,0,3,0,Y,3.36
F,west,490,430,490,0,1,0,75,3.72,0,8,1,Y,3.08
F,east,580,560,560,1,1,0,90,3.8,0,3,1,Y,3.76
F,west,580,510,650,0,1,0,85,3.4,0,6,0,Y,3.32
M,west,480,530,400,0,1,0,37,2.6,0,8,0,Y,1.99
F,Out,600,600,540,1,1,0,87,4,0,NA,1,Y,3.87
F,west,480,660,580,1,1,0,91,3.74,1,3,1,Y,3.6
F,east,490,350,470,0,1,0,80,3.7,0,8,0,Y,3.45
F,west,510,480,520,0,1,0,92,4,0,6,0,Y,3.81
F,west,550,480,570,0,1,0,,2.9,0,3,0,N,1.42
M,east,640,450,570,0,1,0,17,2,1,3,0,N,0.57
F,west,480,500,430,0,1,0,58,2.87,0,3,0,Y,2.93
F,west,480,480,530,0,1,0,,3.3,0,2,0,N,3.63
F,east,480,460,430,0,1,0,,3,0,3,0,Y,3.09
M,west,590,510,480,0,1,0,69,3,0,6,0,N,0
F,west,500,550,470,0,1,0,,3.3,0,8,1,Y,3.1
F,west,490,470,490,0,1,0,42,2.9,0,6,0,Y,2.94
M,west,460,490,400,0,1,1,,2.66,0,2,0,Y,3.42
M,east,470,610,470,1,1,0,61,2.9,0,5,0,Y,2.6
M,east,580,580,600,0,0,0,58,3.22,0,4,0,Y,3.02
M,east,500,430,430,0,1,0,37,2.92,0,4,1,Y,3.62
F,west,450,370,460,0,1,0,,2.5,0,3,0,Y,2.64
F,west,500,460,430,0,1,1,,2.3,0,3,0,N,3.42
F,NA,580,450,520,0,1,0,37,2.7,0,8,0,N,2.75
F,west,450,450,540,0,1,0,57,2.84,0,3,0,Y,3.14
F,west,460,510,450,0,1,1,65,3,0,3,0,Y,3.83
F,west,490,590,590,0,1,1,,3.1,0,2,0,N,3.43
F,east,560,590,560,0,1,0,,3.48,0,6,0,Y,3.94
F,west,590,620,580,0,1,0,95,3.29,0,6,1,Y,3.82
F,west,480,530,540,0,1,0,,3.8,1,2,0,Y,3.76
M,NA,560,620,560,1,1,0,45,3.1,0,2,0,Y,3.15
F,west,550,570,640,0,1,0,,3.23,0,2,1,Y,3.36
F,east,500,520,470,1,1,1,44,2.8,0,2,0,Y,3.29
F,east,620,510,550,0,1,1,,3.2,1,6,0,Y,2.13
F,east,490,520,480,0,0,1,92,3.7,0,7,1,Y,3.93
F,east,490,480,570,1,1,1,66,3.2,0,4,1,Y,3.62
M,east,580,650,610,0,1,0,83,3.6,0,2,1,Y,3.93
M,east,490,590,530,0,1,0,52,3.17,1,5,0,Y,3.05
M,west,480,470,480,0,1,0,52,3.1,0,6,0,N,2.62
F,east,550,500,670,0,1,1,78,3.63,0,5,0,Y,3.9
F,east,580,490,610,0,1,1,81,3.64,0,5,0,Y,3.82
M,west,480,560,440,0,1,0,,3.13,0,2,0,Y,2.99
F,west,450,610,510,0,1,0,,3.1,0,2,0,Y,3.07
F,west,500,460,560,0,1,1,88,3.88,0,8,0,N,3.74
F,west,430,440,440,0,1,0,,2.98,0,1,0,Y,3.19
F,west,,,,0,1,1,,3.5,0,4,0,Y,3.79
F,west,550,630,540,0,1,0,97,4,0,8,1,Y,3.77
M,west,550,500,560,1,1,1,41,2.8,0,6,0,Y,2.03
F,east,470,510,560,0,0,1,69,3.74,0,3,1,Y,3.72
F,west,460,460,510,0,1,0,58,2.9,0,3,0,Y,3.71
F,west,550,570,560,0,1,0,87,3.3,1,4,1,Y,3.74
F,west,420,420,410,0,1,0,76,3.32,0,4,0,Y,3.19
M,west,550,560,460,0,1,1,67,3,1,7,0,Y,3.12
M,west,470,470,480,0,1,0,50,3.3,0,4,0,Y,3.77
M,east,480,540,610,1,1,1,76,3.7,0,6,1,Y,3.67
F,west,,,,0,1,0,,3,0,2,1,N,3
M,west,570,600,580,0,1,1,55,3.27,0,3,0,Y,3.02
F,east,550,530,530,0,1,0,,3.4,0,2,1,Y,3.59
M,west,430,490,430,0,1,0,,2.8,0,2,0,N,3.4
F,west,510,520,570,1,1,0,,3.3,0,2,0,Y,3.63
M,east,480,580,480,0,1,0,18,2.3,0,4,0,Y,2.37
M,west,450,520,470,0,1,0,,2.9,0,2,0,Y,2.69
F,west,540,530,600,0,1,1,,3.5,0,4,0,Y,3.9
F,east,510,540,610,0,1,1,94,3.64,0,7,0,Y,3.62
F,east,620,520,510,0,1,0,79,3.7,0,6,1,Y,3.91
F,west,590,490,570,0,1,1,,3.36,0,4,1,Y,3.64
F,west,460,530,470,0,1,1,33,2.7,0,4,1,Y,2.98
F,east,,,,1,1,1,71,3.8,0,3,0,Y,3.17
F,west,390,490,460,0,1,1,,2.82,0,2,0,Y,2.71
M,east,500,490,520,0,1,0,36,2.61,0,4,0,Y,1.93
F,Out,510,470,510,0,1,0,57,3.3,0,NA,0,Y,3.07
M,west,430,480,530,0,1,0,29,2.1,0,3,0,Y,2.45
M,east,610,600,470,0,1,0,67,3.7,0,4,0,Y,3.6
F,east,630,510,530,0,1,1,84,3.56,0,3,1,Y,0
M,east,620,540,630,0,1,0,83,4,0,4,0,N,3.49
F,west,500,500,510,0,1,0,19,2.3,0,2,0,N,2.33
F,west,540,480,590,0,1,0,,3,0,9,0,N,2.99
F,east,650,570,680,0,1,0,90,4,0,3,1,Y,3.82
M,west,550,580,530,0,1,0,78,3.02,1,6,0,Y,3.4
M,west,500,570,480,0,1,0,,2.9,0,2,0,Y,2.99
M,east,710,490,600,0,1,0,91,3.78,0,3,1,Y,4
F,west,530,440,510,1,1,1,83,3.71,0,8,0,Y,3.33
F,west,490,500,510,0,1,1,,3.3,0,4,0,Y,2.62
F,west,530,440,510,0,1,0,57,3.14,0,3,1,Y,2.79
F,west,410,500,520,0,1,1,91,3.67,0,6,0,Y,3.62
F,west,530,540,630,0,1,1,84,3.64,0,4,1,Y,3.76
F,west,410,450,510,0,1,0,,3.45,0,2,0,Y,2.68
F,Out,540,480,520,0,1,0,71,3.35,0,NA,0,Y,3.65
F,west,490,420,460,0,1,1,78,3.18,0,9,0,Y,2.74
F,west,430,440,430,0,1,0,,3,1,9,1,Y,2.37
F,west,390,390,360,0,1,0,,2.6,0,9,0,Y,2.36
F,east,440,470,470,1,1,0,50,3,0,6,0,Y,3.22
F,west,520,480,560,0,1,0,,3.1,0,1,0,Y,3.16
F,west,460,480,560,0,1,0,65,3.2,1,6,0,Y,3.45
F,west,550,490,590,0,1,0,54,2.9,0,4,0,Y,2.04
F,east,440,470,460,0,0,0,56,2.9,0,5,1,N,2.54
M,west,440,510,440,0,1,0,,3,0,8,0,N,0
F,west,410,450,440,0,1,1,86,2.7,0,9,1,Y,3.62
F,west,290,390,290,0,1,1,76,2.54,0,9,0,Y,2.04
M,east,550,530,570,0,1,0,39,2.6,0,5,0,Y,1.66
F,west,510,460,520,1,1,0,,2.9,0,1,0,N,2.96
F,west,460,440,480,1,1,0,77,3.2,0,6,0,Y,3.43
F,west,590,540,530,1,1,0,83,3.5,0,3,0,Y,3.94
F,west,570,530,560,0,1,0,,2.9,0,1,0,N,0
F,west,,,,0,1,0,,2.7,0,2,0,N,3.28
M,Out,410,600,550,0,1,1,78,4,0,NA,0,N,0
M,east,590,500,560,0,1,0,86,2.9,0,3,0,Y,3.28
F,east,630,600,680,0,0,0,96,3.6,0,6,0,Y,3.96
M,east,570,600,550,0,0,0,70,3.5,1,4,0,Y,3.53
M,east,560,590,560,0,0,1,93,4,1,4,0,Y,3.88
F,west,600,640,600,0,1,1,85,3.5,0,3,1,N,0
M,west,570,490,530,0,1,0,,2.8,0,2,0,Y,3.97
M,west,520,470,430,0,1,0,28,2.47,0,3,0,N,0.13
M,west,480,580,540,0,1,0,70,3,0,6,0,Y,3.4
M,Out,460,470,480,1,1,0,,2.6,1,NA,0,Y,3.04
M,east,500,530,470,0,1,1,92,3.6,0,7,0,Y,3.56
F,west,470,440,530,0,1,1,,2.3,0,2,0,Y,2.91
F,west,600,610,580,0,1,1,76,3.37,0,6,0,Y,3.32
F,east,520,520,500,0,0,0,71,3.3,1,3,0,Y,3.33
F,west,430,500,480,0,1,0,31,2.77,0,8,1,Y,2.38
M,west,390,480,490,0,1,0,55,3.1,1,6,0,Y,1.88
M,west,440,510,530,0,1,0,38,3,0,4,0,Y,3.07
F,west,500,550,530,0,1,0,,2.8,0,1,1,Y,2.53
F,west,530,500,500,0,1,1,,3.17,0,1,1,N,3.86
M,east,670,680,620,0,1,0,,3.29,0,2,0,Y,3.37
F,west,550,580,610,0,1,0,,3.4,0,2,0,Y,3.91
M,Out,450,470,380,0,1,0,,2.49,0,NA,0,Y,2.71
F,west,480,480,500,0,1,0,,2.68,0,4,1,Y,2.64
F,east,,,,0,0,1,66,3.26,0,5,0,Y,3.52
M,east,470,590,550,0,1,0,62,3.3,0,4,0,Y,3.62
M,west,500,620,520,0,1,0,,2.97,1,4,1,Y,2.47
F,east,540,580,580,0,1,0,,3.62,0,5,1,N,3.76
F,west,500,430,560,0,1,1,,2.94,0,4,1,N,3.42
F,west,530,450,590,0,1,1,55,2.9,0,4,0,N,3.65
F,east,520,430,600,0,1,1,36,3.04,0,2,0,Y,3.11
M,east,510,500,570,0,0,0,60,3.4,0,3,1,Y,3.08
F,east,570,610,620,0,1,0,86,3.5,0,2,1,Y,3.84
M,west,500,550,640,0,1,0,,3.25,0,4,1,Y,2.7
F,east,470,500,540,0,1,0,59,2.4,0,5,0,Y,2.8
M,west,500,570,480,0,1,1,,3.1,0,2,0,Y,3.59
M,east,540,490,510,0,1,0,69,3.38,0,4,0,Y,3.3
M,east,580,590,540,0,1,0,88,3.91,0,4,1,Y,3.81
F,west,590,610,720,0,1,1,92,4,0,4,1,Y,3.9
M,west,470,480,400,0,1,0,,2.3,0,2,0,N,1.5
M,west,530,660,420,0,1,0,,2.7,0,2,0,Y,1.97
F,west,450,500,470,0,1,1,,3.1,0,2,0,Y,3.26
M,east,450,620,460,0,1,0,49,3,1,8,0,Y,3.71
M,west,360,400,360,0,1,1,,2.41,0,1,0,Y,3.29
F,west,410,480,420,0,1,0,36,2.7,0,9,0,N,2.8
F,west,530,460,460,1,1,1,76,2.9,0,5,1,N,3.29
F,west,490,430,510,0,1,1,47,2.94,0,6,1,Y,2.96
F,east,640,630,560,0,1,0,99,3.76,0,7,1,Y,3.69
F,west,470,410,470,0,1,1,,2.15,0,3,0,Y,3.33
F,west,530,530,520,0,1,0,91,3.41,0,4,1,Y,3.65
F,west,530,520,490,0,1,0,,3.5,0,2,1,N,3.56
M,west,570,530,550,0,1,0,40,2.41,0,4,0,Y,3.64
F,east,480,460,540,0,0,0,67,3.25,0,4,0,Y,1.78
F,west,,,,0,1,0,,3.2,0,2,0,Y,3.28
M,west,520,450,500,0,1,0,,3,1,9,0,Y,2.86
M,west,560,610,530,0,1,0,,2.7,1,2,0,N,1.03
F,west,570,430,540,0,1,0,,3,0,2,0,Y,3.03
F,west,410,400,480,0,1,0,,3,0,2,0,Y,3.66
F,west,470,580,520,0,1,0,67,3.4,1,8,1,Y,0
M,west,580,610,520,0,1,1,,2.7,1,1,0,Y,2.49
M,west,550,590,610,0,1,0,65,3.52,1,3,1,Y,3.87
F,west,620,580,580,0,1,0,97,4,0,6,1,Y,3.97
F,west,680,470,620,0,1,0,,3.6,0,4,0,Y,3.93
F,east,460,540,530,0,1,1,63,3.5,0,3,0,Y,3.41
F,west,480,470,520,0,1,1,76,3.5,0,8,0,N,3.43
M,east,500,580,510,0,1,0,79,3.7,0,4,0,Y,3.64
M,west,,,,0,1,1,38,2.6,1,3,0,Y,3.17
M,west,480,480,530,0,1,1,59,3.2,0,6,0,Y,2.2
F,west,680,650,610,0,1,0,93,4,0,4,1,Y,3.97
M,east,460,530,520,0,1,1,,2.6,0,6,0,N,2.32
F,east,500,520,590,0,1,0,53,2.7,0,3,1,N,3.19
F,east,460,490,520,0,1,0,48,3,0,6,0,N,0
F,west,550,640,550,0,0,1,,3.5,0,1,1,N,0
M,east,590,600,480,0,1,0,44,2.7,0,3,0,N,3.56
F,west,510,540,540,0,1,0,86,3.59,0,8,1,N,0
M,east,630,520,620,0,1,0,34,2.9,1,2,0,Y,2.28
F,east,440,460,460,0,1,0,84,3.66,0,NA,0,Y,3.44
F,west,530,470,460,0,1,0,,3.3,0,1,0,Y,2.6
F,west,440,470,410,0,1,0,51,2.5,0,8,1,Y,2.56
M,east,460,470,460,0,1,0,20,2.26,0,3,0,Y,2.97
F,east,470,470,500,0,1,0,82,3.7,0,5,0,Y,3.88
M,west,460,490,460,0,1,0,44,2.94,0,6,0,Y,2.78
F,west,520,530,440,0,1,1,,3.7,0,4,0,Y,2.67
F,west,550,530,480,0,1,1,66,3.14,0,3,0,Y,3.13
F,west,470,420,470,0,1,0,,2.62,0,1,0,Y,3.05
M,Out,500,600,470,1,1,0,86,3.08,1,5,1,Y,3.3
M,east,550,530,490,0,1,0,57,2.5,0,7,1,Y,2.89
F,east,490,460,500,0,1,1,72,3.3,0,3,0,Y,3.39
F,west,580,550,590,0,1,0,84,4,0,4,0,Y,3.43
M,west,620,490,500,0,1,1,,2.9,0,2,0,Y,3.21
F,east,640,600,640,1,1,1,91,4.13,1,4,1,Y,3.62
M,Out,470,530,490,0,1,1,,3.3,0,NA,0,N,0
M,Out,420,490,420,0,1,1,80,3.2,0,NA,0,N,2.74
M,west,550,650,570,0,1,1,,2.7,0,1,0,N,3.56
F,west,620,540,640,0,1,0,67,3.3,0,4,0,Y,3.02
F,east,,,,0,1,1,59,3.5,1,4,0,N,3.65
F,west,430,480,500,0,1,0,,2.84,0,1,0,Y,3.25
F,west,440,480,530,0,1,1,,3,1,2,0,Y,3.28
M,west,,,,0,1,1,,3,0,2,0,Y,3.34
M,east,510,530,540,0,0,1,42,2.7,0,3,0,Y,3.48
F,west,530,470,560,0,1,1,,3.18,0,2,0,N,2.94
F,west,560,590,630,0,1,1,98,3.67,0,8,1,Y,3.59
F,east,490,430,480,0,1,1,33,2.88,0,2,0,Y,2.54
F,east,560,550,580,0,1,0,,2.7,1,6,0,N,3.08
M,east,460,570,470,0,1,0,56,3.07,0,4,0,N,2.48
F,east,570,480,600,0,1,1,84,3.7,0,3,1,Y,3.58
F,west,510,470,490,0,1,1,,2.5,0,2,0,Y,2.95
M,east,420,430,430,1,1,0,51,2.8,0,5,0,Y,2.91
F,west,410,470,430,0,1,1,,3.09,0,6,1,Y,3.3
F,east,470,410,490,0,1,0,84,3.5,0,3,1,Y,3.81
M,west,500,490,430,0,1,0,28,2.7,0,4,0,Y,2.72
F,east,490,480,480,0,1,1,,2.87,0,3,0,Y,2.49
F,west,450,460,470,0,1,0,64,3.11,0,3,0,N,0
F,east,530,400,470,0,1,1,70,2.3,0,6,0,Y,2.45
F,east,530,430,490,0,1,1,72,2.72,0,6,1,N,0
F,west,440,330,510,0,1,0,50,3.2,0,6,0,Y,2.77
M,east,490,450,410,0,1,1,80,3.4,0,9,0,N,0.82
F,Out,640,650,600,0,1,0,95,3.7,0,NA,1,Y,3.85
F,west,420,530,540,0,0,0,62,3,0,4,0,N,0
M,east,520,680,520,0,1,0,75,2.81,0,6,0,Y,3.48
F,east,540,540,640,1,1,0,95,3.83,0,9,1,Y,3.31
F,west,480,530,550,0,1,0,,3.3,0,4,0,Y,3.21
F,east,490,430,530,0,1,0,85,3.3,0,7,1,Y,3.29
