Wing,Weight
72,26
70,22.3
69,25.1
73,23.9
66,21
72,25.6
75,25.1
66,24.1
65,21.4
71,24.6
67,23.9
70,23
75,22.4
72,24.7
69,24.8
69,25.1
70,26.7
75,23.8
70,21.7
71,25
73,24.5
69,21.9
71,22.9
68,22.8
73,23.1
72,22.6
65,21.9
71,24.3
70,23.5
71,23.3
68,20.8
73,24.5
73,24.3
70,22.4
74,26.4
69,22.1
74,23.7
72,22.5
71,22.1
65,19.5
71,24.1
70,21.8
66,19.7
72,23.8
72,26
68,27.5
70,27.4
71,26.1
75,24.6
70,24
75,23.5
69,24.1
70,22.4
72,25.2
70,25.8
69,22.3
71,24.1
70,23.2
66,21.2
66,19.8
73,24.7
65,22.8
76,21.9
70,23.1
70,25.6
66,23.5
72,26.9
74,24.9
74,22.9
67,22.6
73,24.6
69,23.7
73,23.8
75,24
74,25.9
67,20.9
70,26.2
75,22.2
67,22.3
75,24.5
71,23.9
68,23.2
71,23.8
68,23.3
70,24.4
70,22.4
73,27.7
71,22.6
71,24.5
69,20.9
71,22.6
70,24.7
77,25.3
70,25.7
71,23.4
70,20.6
73,26.1
68,21.4
68,23.7
74,26
71,23.7
71,25.3
71,25.4
68,26.2
67,22.7
76,27.8
76,23
71,28.8
75,26
73,27.8
76,27.3
71,27.7
77,25.1
69,24
,
74,30.6
74,27.5
66,23.4
72,26.1
75,26
71,22.9
71,23.8
71,26
70,26.4
75,29.8
70,29.2
70,24.8
73,27
,27.9
69,25.2
72,22.3
69,23.7
72,24.2
76,24.3
67,26.6
70,24.1
74,26.5
74,27.2
71,22.6
72,26.2
71,22.7
69,22.7
69,25.4
70,25.1
69,23.4
70,24.3
71,27.3
70,25.4
71,26.5
71,23.7
68,22.9
75,26.3
69,25.4
68,22.6
72,25.2
71,26.3
72,24.2
70,23.3
75,28.4
70,24.2
69,24.5
