sex,height,humerus,radius,ulna,femur,tibia,fibula
Female,168,294,,,435,342,
Female,189.0836334,,256,,507,409,407
Female,168,307,240,258,448,384,368
Female,157,314,229,239,435,350,347
Female,178,336,247,261,463,404,390
Female,158.1804199,312,231,244,440,362,357
Female,162.6712341,304,231,247,448,368,348
Female,161,294,213,227,413,335,322
Female,158,301,219,237,432,343,332
Female,172.8300781,322,245,266,458,398,
Female,173,330,242,265,473,,
Female,155,324,262,279,465,395,375
Female,163.0836334,298,224,236,428,343,
Female,175,337,240,255,472,379,368
Female,155,282,223,,439,352,350
Female,165,314,243,258,432,364,364
Female,168,303,223,244,441,355,342
Female,168,321,233,246,448,365,366
Female,158,302,,,424,337,332
Female,165,315,233,246,435,357,
Female,165,311,231,254,436,362,360
Female,170.1136017,324,,,454,363,361
Female,165,298,,251,438,359,355
Female,172.639801,335,,,462,372,366
Female,173,312,248,266,483,405,401
Female,165,322,229,246,448,368,352
Female,163,311,228,250,450,368,360
Female,158,294,217,232,414,339,331
Female,163,320,234,258,430,,352
Female,163,298,221,245,443,355,361
Female,155.1900787,301,233,249,434,,
Female,166.6201019,302,227,245,433,360,364
Female,170,313,,,453,,
Female,153,280,218,234,410,345,344
Female,160,294,209,222,395,320,316
Female,155,303,235,249,429,343,342
Female,165,294,220,235,448,354,353
Female,170,311,235,253,440,360,347
Female,160,316,214,226,437,356,348
Female,159,292,223,233,419,346,336
Female,170,,,253,449,372,
Female,160,311,222,238,,355,346
Female,163,315,228,251,438,356,347
Female,165,311,235,252,443,380,365
Female,165,303,237,249,451,356,348
Female,168.0402832,,,,457,382,363
Female,160,,,,419,346,
Female,160,,,,421,361,
Female,165,308,234,248,439,348,344
Female,165,315,227,240,448,363,353
Female,156.1126404,299,236,254,441,352,339
Female,175,316,244,260,473,390,374
Female,180,333,256,278,475,391,381
Female,168,321,230,248,450,365,362
Female,171.5791931,330,230,243,460,365,361
Female,163,299,219,236,435,357,339
Female,157,286,219,232,,,
Female,150,272,,,390,,318
Female,165,304,246,264,467,392,383
Female,160,309,236,248,432,364,358
Female,185,,,,525,422,405
Female,158,319,246,268,442,371,364
Female,165,325,242,250,448,378,365
Female,170,335,248,263,474,400,382
Female,168,321,249,,468,,
Female,182,334,254,273,514,420,407
Female,163,309,230,244,434,359,
Female,165,307,230,248,452,363,355
Female,163,297,240,260,435,356,356
Female,143.3436737,282,216,233,398,334,318
Female,154,297,228,248,423,344,334
Female,150,284,216,233,416,,
Female,171,342,272,290,485,418,407
Female,162.4057007,303,237,262,433,367,364
Female,150,308,220,247,383,352,341
Female,157,288,201,215,429,363,350
Female,158,314,239,263,432,371,358
Female,162,306,250,268,444,355,352
Female,163,302,234,253,443,,370
Female,163,,,,451,362,
Female,159,310,238,255,449,362,352
Female,150.4092865,307,240,,421,344,
Male,177.5041046,348,257,279,488,412,404
Male,173,,,,476,391,390
Male,170.1895142,,,,,388,388
Male,175.0160522,333,248,272,464,384,374
Male,181.3759155,355,271,290,487,417,
Male,169,337,254,273,460,396,385
Male,176.1385498,324,241,262,446,386,374
Male,153,296,223,243,407,337,338
Male,171.5680847,322,240,268,454,372,366
Male,175,339,256,271,470,390,381
Male,183.2926025,359,258,281,505,416,414
Male,185.5160522,389,270,286,511,437,419
Male,179,343,242,263,464,378,371
