tuition,pcttop25,sf_ratio,fac_comp,accrate,graduat,pct_phd,fulltime,alumni,num_enrl,public/private
,,,,,,,,,,
3400,NA,14.3,42300,0.682,40,53,92.85,NA,984,0
5600,27,32.8,NA,0.928,55,52,70.28,NA,179,1
4440,78,18.9,47700,0.66,51,72,87.81,8,570,0
3000,NA,18.7,NA,0.705,15,48,90.91,NA,1278,0
6300,57,16.7,54600,0.9,69,85,90.46,18,3070,0
2600,6,16.5,NA,1,36,64,47.02,NA,644,0
4104,46,25.3,54800,0.735,50,94,63.21,3,1686,0
11660,88,14,52300,0.73,72,74,86.92,34,287,1
2970,40,19.4,50300,0.646,76,62,78.49,5,625,0
8080,47,11.4,36600,0.855,44,63,81.02,9,127,1
2610,NA,20.1,49300,0.868,33,66,77.77,6,887,0
5780,30,17.9,NA,0.728,43,70,89.18,27,137,1
1740,NA,18.8,36300,0.794,36,58,92.5,4,444,0
9550,24,14.1,34200,0.981,58,64,58.35,18,222,1
4000,NA,16.7,NA,0.622,15,35,85.85,2,242,1
6550,NA,15.1,55400,NA,NA,58,26.92,13,1725,0
6150,54,16.6,36300,0.732,52,59,82.48,4,269,1
4860,47,17.4,50300,0.909,43,103,90,16,243,0
3811,39,14.6,43600,0.94,NA,71,83.43,28,1268,0
5504,75,17.7,46000,0.621,73,71,93.62,37,806,1
7115,53,14.3,56100,0.865,34,91,69.96,NA,1891,0
6639,NA,14.5,36200,0.638,NA,52,90.7,12,385,1
8236,76,14.7,57800,0.83,61,74,88.04,17,691,1
5130,85,23.1,63700,0.727,69,89,91.88,29,6392,0
5700,NA,17.9,37500,0.999,NA,55,92.98,NA,769,1
13600,70,15.6,72500,0.695,66,93,94.46,13,886,1
11478,NA,14.4,44900,0.898,70,80,80.79,23,230,1
4460,NA,14.3,33500,0.976,47,47,97.52,NA,248,1
13400,59,10.9,NA,0.696,71,68,NA,43,67,1
5666,60,15.5,NA,0.34,46,56,88.41,7,335,1
2883,67,23,42600,0.871,48,50,81.44,NA,824,0
6735,59,12.2,38700,0.806,65,70,95.15,7,611,1
5424,57,17.3,58000,0.787,50,80,89.6,29,2682,0
4440,35,6.7,58700,0.701,33,96,59.7,16,938,0
4960,57,12.7,54800,0.695,38,83,44.55,12,445,0
3108,NA,13.3,50400,0.906,43,80,71.86,NA,1047,0
7560,44,11.9,48700,0.756,15,76,22.27,2,55,1
5226,NA,10,67700,0.771,NA,67,46.23,8,928,0
5226,24,9.5,55900,0.801,39,39,21.02,NA,89,0
6870,NA,14.2,36300,0.791,81,56,75.03,NA,169,1
7434,49,18.9,59300,0.805,48,88,74.87,5,3761,0
6746,48,21.7,50700,0.837,41,78,80.75,7,1973,0
